Pattern,Line,SourceFile
^Date: .*(19|20|21|22|23|24|25|26) Apr 2024,"176863218:Date: Fri, 26 Apr 2024 12:19:10 +0000",C:\Users\thoma\Documents\Cyber Crimes Tools\All mail Including Spam and Trash-002.mbox
^Date: .*(19|20|21|22|23|24|25|26) Apr 2024,"176865858:Date: Fri, 26 Apr 2024 23:24:15 +0000",C:\Users\thoma\Documents\Cyber Crimes Tools\All mail Including Spam and Trash-002.mbox
^Date: .*(19|20|21|22|23|24|25|26) Apr 2024,"176866390:Date: Fri, 26 Apr 2024 19:55:50 +0000 (UTC)",C:\Users\thoma\Documents\Cyber Crimes Tools\All mail Including Spam and Trash-002.mbox
^Date: .*(19|20|21|22|23|24|25|26) Apr 2024,"176867061:Date: Fri, 26 Apr 2024 19:40:46 +0000",C:\Users\thoma\Documents\Cyber Crimes Tools\All mail Including Spam and Trash-002.mbox
^Date: .*(19|20|21|22|23|24|25|26) Apr 2024,"176868192:Date: Fri, 26 Apr 2024 19:30:55 +0000",C:\Users\thoma\Documents\Cyber Crimes Tools\All mail Including Spam and Trash-002.mbox
^Date: .*(19|20|21|22|23|24|25|26) Apr 2024,"176869158:Date: Fri, 26 Apr 2024 23:04:00 +0530",C:\Users\thoma\Documents\Cyber Crimes Tools\All mail Including Spam and Trash-002.mbox
^Date: .*(19|20|21|22|23|24|25|26) Apr 2024,"176870292:Date: Fri, 26 Apr 2024 22:10:39 +0000",C:\Users\thoma\Documents\Cyber Crimes Tools\All mail Including Spam and Trash-002.mbox
^Date: .*(19|20|21|22|23|24|25|26) Apr 2024,"176875129:Date: Fri, 26 Apr 2024 11:09:44 -0400 (EDT)",C:\Users\thoma\Documents\Cyber Crimes Tools\All mail Including Spam and Trash-002.mbox
^Date: .*(19|20|21|22|23|24|25|26) Apr 2024,"176875939:Date: Fri, 26 Apr 2024 13:18:08 +0000",C:\Users\thoma\Documents\Cyber Crimes Tools\All mail Including Spam and Trash-002.mbox
^Date: .*(19|20|21|22|23|24|25|26) Apr 2024,"176877352:Date: Fri, 26 Apr 2024 23:04:00 +0000",C:\Users\thoma\Documents\Cyber Crimes Tools\All mail Including Spam and Trash-002.mbox
^Date: .*(19|20|21|22|23|24|25|26) Apr 2024,"176877675:Date: Fri, 26 Apr 2024 09:38:20 +0000 (UTC)",C:\Users\thoma\Documents\Cyber Crimes Tools\All mail Including Spam and Trash-002.mbox
^Date: .*(19|20|21|22|23|24|25|26) Apr 2024,"176878044:Date: Fri, 26 Apr 2024 23:56:34 +0000",C:\Users\thoma\Documents\Cyber Crimes Tools\All mail Including Spam and Trash-002.mbox
^Date: .*(19|20|21|22|23|24|25|26) Apr 2024,"176879954:Date: Fri, 26 Apr 2024 17:10:01 +0000",C:\Users\thoma\Documents\Cyber Crimes Tools\All mail Including Spam and Trash-002.mbox
^Date: .*(19|20|21|22|23|24|25|26) Apr 2024,"176882037:Date: Fri, 26 Apr 2024 19:05:08 +0000 (UTC)",C:\Users\thoma\Documents\Cyber Crimes Tools\All mail Including Spam and Trash-002.mbox
^Date: .*(19|20|21|22|23|24|25|26) Apr 2024,"176883070:Date: Fri, 26 Apr 2024 01:06:48 +0000",C:\Users\thoma\Documents\Cyber Crimes Tools\All mail Including Spam and Trash-002.mbox
^Date: .*(19|20|21|22|23|24|25|26) Apr 2024,"176883758:Date: Fri, 26 Apr 2024 13:39:23 -0600",C:\Users\thoma\Documents\Cyber Crimes Tools\All mail Including Spam and Trash-002.mbox
^Date: .*(19|20|21|22|23|24|25|26) Apr 2024,176888992:Date: 26 Apr 2024 03:02:21 -0400,C:\Users\thoma\Documents\Cyber Crimes Tools\All mail Including Spam and Trash-002.mbox
^Date: .*(19|20|21|22|23|24|25|26) Apr 2024,"176889351:Date: Fri, 26 Apr 2024 19:06:16 +0000 (UTC)",C:\Users\thoma\Documents\Cyber Crimes Tools\All mail Including Spam and Trash-002.mbox
^Date: .*(19|20|21|22|23|24|25|26) Apr 2024,"176891820:Date: Fri, 26 Apr 2024 20:02:02 +0000",C:\Users\thoma\Documents\Cyber Crimes Tools\All mail Including Spam and Trash-002.mbox
^Date: .*(19|20|21|22|23|24|25|26) Apr 2024,"176892710:Date: Fri, 26 Apr 2024 08:09:57 +0000",C:\Users\thoma\Documents\Cyber Crimes Tools\All mail Including Spam and Trash-002.mbox
