Start,End,Duration,Number of events,Services involved
2024-04-24 08:29:53,2024-04-24 08:34:49,0:04:56,9,YouTube
2024-04-24 08:30:49,2024-04-24 08:35:25,0:04:36,12,YouTube
2024-04-24 08:31:23,2024-04-24 08:36:06,0:04:43,12,YouTube
2024-04-24 08:31:47,2024-04-24 08:36:46,0:04:59,13,YouTube
2024-04-24 08:32:26,2024-04-24 08:36:46,0:04:20,12,YouTube
2024-04-24 08:32:58,2024-04-24 08:37:47,0:04:49,14,YouTube
2024-04-24 08:33:26,2024-04-24 08:38:26,0:05:00,14,YouTube
2024-04-24 08:34:37,2024-04-24 08:39:32,0:04:55,18,YouTube
2024-04-24 08:34:49,2024-04-24 08:39:32,0:04:43,17,YouTube
2024-04-24 08:35:12,2024-04-24 08:39:54,0:04:42,18,YouTube
2024-04-24 08:35:15,2024-04-24 08:39:54,0:04:39,17,YouTube
2024-04-24 08:35:19,2024-04-24 08:39:54,0:04:35,16,YouTube
2024-04-24 08:35:25,2024-04-24 08:39:54,0:04:29,15,YouTube
2024-04-24 08:36:06,2024-04-24 08:40:57,0:04:51,16,YouTube
2024-04-24 08:36:39,2024-04-24 08:40:57,0:04:18,15,YouTube
2024-04-24 08:36:46,2024-04-24 08:40:57,0:04:11,14,YouTube
2024-04-24 08:37:33,2024-04-24 08:41:52,0:04:19,14,YouTube
2024-04-24 08:37:35,2024-04-24 08:41:52,0:04:17,13,YouTube
2024-04-24 08:37:47,2024-04-24 08:42:44,0:04:57,13,YouTube
2024-04-24 08:38:26,2024-04-24 08:43:14,0:04:48,13,YouTube
2024-04-24 08:38:40,2024-04-24 08:43:28,0:04:48,13,YouTube
2024-04-24 08:39:05,2024-04-24 08:43:28,0:04:23,12,YouTube
2024-04-24 08:39:07,2024-04-24 08:43:28,0:04:21,11,YouTube
2024-04-24 08:39:29,2024-04-24 08:44:18,0:04:49,12,YouTube
2024-04-24 08:39:32,2024-04-24 08:44:18,0:04:46,11,YouTube
2024-04-24 08:39:51,2024-04-24 08:44:18,0:04:27,10,YouTube
2024-04-24 08:39:54,2024-04-24 08:44:18,0:04:24,9,YouTube
2024-04-24 08:40:43,2024-04-24 08:45:19,0:04:36,11,YouTube
2024-04-24 08:40:57,2024-04-24 08:45:49,0:04:52,11,YouTube
2024-04-24 08:41:52,2024-04-24 08:46:48,0:04:56,13,YouTube
2024-04-24 08:42:44,2024-04-24 08:47:34,0:04:50,15,YouTube
2024-04-24 08:43:14,2024-04-24 08:47:52,0:04:38,15,YouTube
2024-04-24 08:43:28,2024-04-24 08:47:52,0:04:24,14,YouTube
2024-04-24 08:44:10,2024-04-24 08:48:49,0:04:39,16,YouTube
2024-04-24 08:44:18,2024-04-24 08:49:18,0:05:00,16,YouTube
2024-04-24 08:44:56,2024-04-24 08:49:46,0:04:50,17,YouTube
2024-04-24 08:45:17,2024-04-24 08:50:10,0:04:53,18,YouTube
2024-04-24 08:45:19,2024-04-24 08:50:10,0:04:51,17,YouTube
2024-04-24 08:45:49,2024-04-24 08:50:10,0:04:21,16,YouTube
2024-04-24 08:46:28,2024-04-24 08:51:22,0:04:54,17,YouTube
2024-04-24 08:46:34,2024-04-24 08:51:34,0:05:00,17,YouTube
2024-04-24 08:46:48,2024-04-24 08:51:34,0:04:46,16,YouTube
2024-04-24 08:47:19,2024-04-24 08:52:09,0:04:50,17,YouTube
2024-04-24 08:47:21,2024-04-24 08:52:09,0:04:48,16,YouTube
2024-04-24 08:47:34,2024-04-24 08:52:09,0:04:35,15,YouTube
2024-04-24 08:47:52,2024-04-24 08:52:45,0:04:53,15,YouTube
2024-04-24 08:48:30,2024-04-24 08:53:12,0:04:42,15,YouTube
2024-04-24 08:48:47,2024-04-24 08:53:43,0:04:56,15,YouTube
2024-04-24 08:48:49,2024-04-24 08:53:43,0:04:54,14,YouTube
2024-04-24 08:49:18,2024-04-24 08:54:12,0:04:54,15,YouTube
2024-04-24 08:49:42,2024-04-24 08:54:37,0:04:55,16,YouTube
2024-04-24 08:49:46,2024-04-24 08:54:46,0:05:00,17,YouTube
2024-04-24 08:49:59,2024-04-24 08:54:46,0:04:47,16,YouTube
2024-04-24 08:50:10,2024-04-24 08:55:00,0:04:50,16,YouTube
2024-04-24 08:51:18,2024-04-24 08:56:10,0:04:52,22,YouTube
2024-04-24 08:51:22,2024-04-24 08:56:22,0:05:00,22,YouTube
2024-04-24 08:51:34,2024-04-24 08:56:22,0:04:48,21,YouTube
2024-04-24 08:51:56,2024-04-24 08:56:50,0:04:54,21,YouTube
2024-04-24 08:52:09,2024-04-24 08:56:57,0:04:48,21,YouTube
2024-04-24 08:52:45,2024-04-24 08:56:57,0:04:12,20,YouTube
2024-04-24 08:53:12,2024-04-24 08:57:56,0:04:44,20,YouTube
2024-04-24 08:53:43,2024-04-24 08:58:42,0:04:59,23,YouTube
2024-04-24 08:53:55,2024-04-24 08:58:42,0:04:47,22,YouTube
2024-04-24 08:54:12,2024-04-24 08:58:59,0:04:47,22,YouTube
2024-04-24 08:54:24,2024-04-24 08:59:20,0:04:56,23,YouTube
2024-04-24 08:54:37,2024-04-24 08:59:20,0:04:43,22,YouTube
2024-04-24 08:54:44,2024-04-24 08:59:20,0:04:36,21,YouTube
2024-04-24 08:54:46,2024-04-24 08:59:45,0:04:59,21,YouTube
2024-04-24 08:55:00,2024-04-24 08:59:45,0:04:45,20,YouTube
2024-04-24 08:55:22,2024-04-24 09:00:19,0:04:57,21,YouTube
2024-04-24 08:55:36,2024-04-24 09:00:32,0:04:56,21,YouTube
2024-04-24 08:55:46,2024-04-24 09:00:32,0:04:46,20,YouTube
2024-04-24 08:56:02,2024-04-24 09:00:32,0:04:30,19,YouTube
2024-04-24 08:56:06,2024-04-24 09:00:32,0:04:26,18,YouTube
2024-04-24 08:56:08,2024-04-24 09:00:32,0:04:24,17,YouTube
2024-04-24 08:56:10,2024-04-24 09:00:32,0:04:22,16,YouTube
2024-04-24 08:56:22,2024-04-24 09:00:32,0:04:10,15,YouTube
2024-04-24 08:56:50,2024-04-24 09:01:36,0:04:46,16,YouTube
2024-04-24 08:56:57,2024-04-24 09:01:57,0:05:00,16,YouTube
